player,birthday,yrs,from,to,pos
Michael Kaczmarek,1951-10-31,1,1973,1973,LB
Bob Kampa,1951-04-26,2,1973,1974,DT
Gary Keithley,1951-01-11,1,1973,1973,QB
Brian Kelley,1951-09-01,11,1973,1983,LB
Jim Kelly,1951-08-07,1,1974,1974,TE
Steve King,1951-06-10,9,1973,1981,ROLB
David Knight,1951-02-01,5,1973,1977,WR
Bill Knox,1951-06-19,3,1974,1976,DB
Steve Knutson,1951-10-05,3,1976,1978,G-T
Doug Kotar,1951-06-11,7,1974,1981,RB
Merv Krakau,1951-05-16,6,1973,1978,RLB
Jim Lash,1951-11-12,5,1973,1977,WR
Jim Laslavic,1951-10-24,9,1973,1982,MLB
Henry Lawrence,1951-09-26,13,1974,1986,T-G
Rolland Lawrence,1951-03-24,8,1973,1980,DB
Pat Leahy,1951-03-19,18,1974,1991,K
Mike Lee,1951-08-31,1,1974,1974,LB
Mike Lemon,1951-02-26,3,1975,1977,LB
Randy Logan,1951-05-01,11,1973,1983,DB
John Lohmeyer,1951-01-15,4,1973,1977,DT-DE
Ron Lou,1951-07-24,3,1973,1976,C
Ron Lumpkin,1951-06-22,1,1973,1973,DB
Ron Mabra,1951-06-04,3,1975,1977,DB
Tom MacLeod,1951-01-10,5,1973,1978,LB
Frank Marion,1951-03-16,7,1977,1983,LILB
Al Marshall,1951-01-07,1,1974,1974,WR
Mike Martz,1951-05-13,NA,NA,NA,Coach
Bo Matthews,1951-11-15,8,1974,1981,RB
Alvin Maxson,1951-11-12,5,1974,1978,RB
James McAlister,1951-09-05,3,1975,1978,RB
Larry McCarren,1951-11-09,12,1973,1984,C
Brent McClanahan,1951-09-21,7,1973,1979,RB
Prentice McCray,1951-03-01,7,1974,1980,DB
Dave McCurry,1951-02-23,1,1974,1974,DB
John McDaniel,1951-09-23,7,1974,1980,WR
Dwight McDonald,1951-05-24,4,1975,1978,WR
Dave McGinnis,1951-08-07,NA,NA,NA,Coach
Eddie McMillan,1951-11-25,6,1973,1978,DB
Rod McNeill,1951-03-26,3,1974,1976,RB
Kim McQuilken,1951-02-26,5,1974,1979,QB
Jim Merlo,1951-10-03,6,1973,1979,LB
Terry Metcalf,1951-09-24,6,1973,1981,RB-WR
Rick Middleton,1951-11-28,5,1974,1978,RLB
Claudie Minor,1951-04-21,9,1974,1982,T
Arthur Moore,1951-04-04,4,1973,1977,NT-DT
Derland Moore,1951-10-07,14,1973,1986,DT-NT-DE
Nat Moore,1951-09-19,13,1974,1986,WR-RB
Dennis Morrison,1951-05-18,1,1974,1974,QB
Guy Morriss,1951-05-13,15,1973,1987,C
Tom Mullen,1951-11-11,5,1974,1978,G-T
Louis Neal,1951-01-10,2,1973,1974,WR
Steve Neils,1951-05-02,7,1974,1980,LOLB
Steve Nelson,1951-04-26,14,1974,1987,LB
Terry Nelson,1951-05-20,8,1973,1980,TE
Doug Nettles,1951-08-13,6,1974,1980,DB
Ed Newman,1951-06-04,12,1973,1984,G
Lee Nystrom,1951-10-30,1,1974,1974,T
Stu O'Dell,1951-11-27,4,1974,1978,LB
Ray Oldham,1951-02-23,10,1973,1982,DB
Bill Olds,1951-02-21,4,1973,1976,RB
Jim O'Malley,1951-07-24,3,1973,1975,RLB
Willie Osley,1951-04-10,1,1974,1974,DB
Burgess Owens,1951-08-02,10,1973,1982,DB
Eddie Payton,1951-08-03,5,1977,1982,RB
Drew Pearson,1951-01-12,11,1973,1983,WR
Dan Peiffer,1951-03-29,4,1975,1980,C
Ken Pope,1951-12-28,1,1974,1974,DB
Clyde Powers,1951-08-19,5,1974,1978,DB
Robert Pratt,1951-05-25,12,1974,1985,G
Billy Pritchett,1951-02-22,3,1975,1977,RB
Bob Prout,1951-05-11,2,1974,1975,DB
Greg Pruitt,1951-08-18,12,1973,1984,RB
Mike Rae,1951-07-26,4,1976,1979,QB
Don Reese,1951-09-04,7,1974,1981,DT-DE
Kevin Reilly,1951-04-10,3,1973,1975,LB
Mike Reppond,1951-08-24,1,1973,1973,WR
Danny Rhodes,1951-03-18,1,1974,1974,LB
Don Rives,1951-08-30,6,1973,1978,LB
Oscar Roan,1951-10-17,4,1975,1978,TE
Glenn Robinson,1951-10-20,3,1975,1977,DE-LB
Greg Robinson,1951-10-09,NA,NA,NA,Coach
Larry Robinson,1951-04-06,1,1973,1973,RB
Johnny Rodgers,1951-07-05,2,1977,1978,WR
Jim Romaniszyn,1951-09-17,3,1973,1976,LB
Nick Saban,1951-10-31,NA,NA,NA,Coach
Carl Schaukowitch,1951-02-14,1,1975,1975,G
Steve Schubert,1951-03-15,6,1974,1979,WR
Glenn Scolnik,1951-06-16,1,1973,1973,WR
Rob Scribner,1951-04-09,4,1973,1976,RB
Mike Seifert,1951-03-30,1,1974,1974,DE
Mike Sheppard,1951-10-29,NA,NA,NA,Coach
Ray Sherman,1951-11-27,NA,NA,NA,Coach
Al Simpson,1951-07-27,2,1975,1976,G-T
Bill Simpson,1951-12-05,8,1974,1982,DB
Bill Singletary,1951-03-18,1,1974,1974,LB
Jerry Sisemore,1951-07-16,12,1973,1984,T-G
John Skorupan,1951-05-17,8,1973,1980,LLB
Barry Smith,1951-01-15,4,1973,1976,WR
Ken Smith,1951-07-27,1,1973,1973,TE
Perry Smith,1951-03-29,9,1973,1981,DB
Rob Spicer,1951-07-20,1,1973,1973,LB
Greg Stemrick,1951-10-25,9,1975,1983,DB
Roger Stillwell,1951-11-17,3,1975,1977,DT-DE
Darryl Stingley,1951-09-18,5,1973,1977,WR
Bill Story,1951-11-21,1,1975,1975,T
Les Strayhorn,1951-09-01,2,1973,1974,RB
Scott Stringer,1951-08-05,1,1974,1974,DB
Fred Sturt,1951-01-06,7,1974,1981,G
Dave Sullivan,1951-01-31,2,1973,1974,WR
Carl Summerell,1951-12-06,2,1974,1975,QB
Bob Sutton,1951-01-28,NA,NA,NA,Coach
Mitch Sutton,1951-05-10,2,1974,1975,DE
John Teerlinck,1951-04-09,2,1974,1975,DT
J.T. Thomas,1951-04-22,9,1973,1982,DB
Spencer Thomas,1951-03-09,2,1975,1976,DB
Tom Thompson,1951-09-22,1,1974,1974,RB
Gerald Tinker,1951-01-19,2,1974,1975,WR
Loren Toews,1951-11-03,11,1973,1983,LILB
Bill Troup,1951-04-02,5,1974,1980,QB
Brad Van Pelt,1951-04-05,14,1973,1986,LB
Brian Vertefeuille,1951-04-04,1,1974,1974,T
Carl Wafer,1951-01-17,1,1974,1974,DE
Randy Walker,1951-08-29,1,1974,1974,P
Jackie Wallace,1951-03-13,6,1974,1979,DB
Bruce Walton,1951-06-14,3,1973,1975,T-G-C
Joe Washington,1951-07-10,1,1973,1973,RB
Norris Weese,1951-08-12,4,1976,1979,QB-P
Mike Wells,1951-06-18,1,1977,1977,QB
Terry Wells,1951-04-20,2,1974,1975,RB
Daryl White,1951-10-12,1,1974,1974,G
Walter White,1951-07-19,5,1975,1979,TE
Delvin Williams,1951-04-17,8,1974,1981,RB
Steve Williams,1951-01-12,1,1974,1974,DE
Jeff Winans,1951-10-12,5,1973,1978,G-DE-T-DT
Doug Winslow,1951-07-19,2,1973,1976,WR
Don Woods,1951-02-17,7,1974,1980,RB
John Wood,1951-01-20,1,1973,1973,DT
Jeff Yeates,1951-08-03,11,1974,1984,DE-DT-G
Charle Young,1951-02-05,13,1973,1985,TE
Emanuel Zanders,1951-07-31,8,1974,1981,G
Brent Adams,1952-06-26,3,1975,1977,T
Jimmy Allen,1952-03-06,8,1974,1981,DB
Tom Alward,1952-10-13,1,1976,1976,G
Charlie Ane,1952-08-12,7,1975,1981,C
Charles Anthony,1952-07-10,1,1974,1974,LB
Bruce Arians,1952-10-03,NA,NA,NA,Coach
LeFrancis Arnold,1952-11-24,1,1974,1974,G
Ted Bachman,1952-01-19,1,1976,1976,DB
Larry Bailey,1952-05-10,1,1974,1974,DT
Bill Bain,1952-08-09,11,1975,1986,T-G
Steve Bartkowski,1952-11-12,12,1975,1986,QB
Rich Baska,1952-02-19,2,1976,1977,LB
Bill Belichick,1952-04-16,NA,NA,NA,Coach
Glen Bonner,1952-05-05,2,1974,1975,RB
Greg Boyd,1952-09-15,7,1977,1984,DE
Morris Bradshaw,1952-10-19,9,1974,1982,WR
Willie Brister,1952-01-28,2,1974,1975,TE
Boyd Brown,1952-05-24,4,1974,1977,TE
Booker Brown,1952-09-25,2,1975,1977,T-G
Carlos Brown,1952-07-31,2,1975,1976,QB
Eddie Brown,1952-02-19,6,1974,1979,DB
Waymond Bryant,1952-07-28,4,1974,1977,LB
Gary Burley,1952-12-08,9,1976,1984,DE-DT
Robert Burns,1952-01-12,1,1974,1974,RB
Al Burton,1952-03-30,2,1976,1977,DE
Dexter Bussey,1952-03-11,11,1974,1984,RB
Jim Cagle,1952-01-15,1,1974,1974,DT
Don Calhoun,1952-04-29,9,1974,1982,RB
Gary Campbell,1952-03-04,7,1977,1983,LB
John Cappelletti,1952-08-09,9,1974,1983,RB
Carl Capria,1952-06-08,2,1974,1975,DB
Roger Carr,1952-07-01,10,1974,1983,WR
Allen Carter,1952-12-12,2,1975,1976,RB
Rubin Carter,1952-12-12,12,1975,1986,NT-DT
Dave Casper,1952-02-02,11,1974,1984,TE
Karl Chandler,1952-02-15,6,1974,1979,C-G
Neil Clabo,1952-11-18,3,1975,1977,P
Don Clune,1952-07-31,3,1974,1976,WR
Don Coleman,1952-01-11,2,1974,1975,LB
Greg Collins,1952-12-08,3,1975,1977,LB
Tom Condon,1952-10-26,12,1974,1985,G
Fred Cook,1952-04-15,7,1974,1980,DE
Bert Cooper,1952-08-24,1,1976,1976,LB
Charles Cornelius,1952-07-27,4,1977,1980,DB
Mark Cotney,1952-06-26,9,1975,1984,DB
Randy Crowder,1952-07-30,6,1974,1980,DT-NT-DE
Jim Culbreath,1952-10-21,4,1977,1980,RB
Peter Cusick,1952-10-27,1,1975,1975,NT
Oakley Dalton,1952-07-18,1,1977,1977,DT
Maury Damkroger,1952-01-08,2,1974,1975,LB
Rick Danmeier,1952-04-08,6,1977,1982,K
Anthony Davis,1952-09-08,2,1977,1978,RB
Charlie Davis,1952-01-16,2,1974,1976,RB
Harrison Davis,1952-02-20,1,1974,1974,WR
Kyle Davis,1952-10-01,2,1975,1978,C
Marvin Davis,1952-05-25,1,1974,1974,LB
Fred Dean,1952-02-24,11,1975,1985,DE
Charles DeJurnett,1952-06-17,10,1976,1986,NT-DT
Keith Denson,1952-08-30,1,1976,1976,WR
Dan Dickel,1952-08-24,5,1974,1978,LB
Johnnie Dirden,1952-03-14,3,1978,1981,WR
Tom Donchez,1952-03-10,1,1975,1975,RB
Earl Douthitt,1952-09-08,1,1975,1975,DB
Rich Druschel,1952-01-15,1,1974,1974,T-G
Brian Duncan,1952-03-31,3,1976,1978,RB
Rick Dvorak,1952-04-21,4,1974,1977,DT-DE
Emmett Edwards,1952-06-06,2,1975,1976,WR
Jimmy Edwards,1952-09-19,1,1979,1979,RB
Tom Ehlers,1952-07-14,4,1975,1978,LB
Cleveland Elam,1952-04-05,5,1975,1979,DT-DE
Keith Fahnhorst,1952-02-06,14,1974,1987,T
Bob Ferrell,1952-11-13,5,1976,1980,RB
Tom Forrest,1952-04-11,1,1974,1974,G
Cliff Frazier,1952-11-23,1,1977,1977,DT
Stan Fritts,1952-12-18,2,1975,1976,RB
Bill Frohbose,1952-05-20,1,1974,1974,DB
Bob Gaddis,1952-01-20,1,1976,1976,WR
Chan Gailey,1952-01-05,NA,NA,NA,Coach
Dave Gallagher,1952-01-02,5,1974,1979,DE-DT
Reuben Gant,1952-04-12,7,1974,1980,TE-WR
Charlie Getty,1952-07-24,10,1974,1983,T-G
Gary Gibbs,1952-08-13,NA,NA,NA,Coach
Robert Giblin,1952-11-18,2,1975,1977,DB
Harvey Goodman,1952-09-16,1,1976,1976,G
Randy Gradishar,1952-03-03,10,1974,1983,LB
Dave Grannell,1952-10-04,1,1974,1974,TE
Ken Grandberry,1952-01-25,1,1974,1974,RB
Tim Gray,1952-11-11,5,1975,1979,DB
Randy Grossman,1952-09-20,8,1974,1981,TE
Carl Hairston,1952-12-15,15,1976,1990,DE-DT-LB
Randy Hall,1952-02-08,2,1974,1976,DB
Bobby Hammond,1952-02-20,5,1976,1980,RB
Ike Harris,1952-11-27,7,1975,1981,WR
Joe Harris,1952-12-06,6,1977,1982,LLB
Willard Harrell,1952-09-16,10,1975,1984,RB
Harold Hart,1952-07-13,4,1974,1978,RB
Clint Haslerig,1952-04-09,3,1974,1976,WR-HB
Mike Heimerdinger,1952-10-13,NA,NA,NA,Coach
Craig Hertwig,1952-01-15,3,1975,1977,T
Dallas Hickman,1952-02-16,6,1976,1981,DE-LB
Tom Hicks,1952-12-18,5,1976,1980,LB
Mike Hoban,1952-01-19,1,1974,1974,G
Norm Hodgins,1952-03-01,1,1974,1974,DB
Paul Hofer,1952-05-13,6,1976,1981,RB
John Holland,1952-02-28,4,1974,1977,WR
Rudy Holmes,1952-07-19,1,1974,1974,DB
Percy Howard,1952-01-21,1,1975,1975,WR
Tom Hull,1952-06-30,2,1974,1975,LB
David Humm,1952-04-02,10,1975,1984,QB
Ken Hutcherson,1952-07-14,2,1974,1975,LB
Mark Ilgenfritz,1952-09-09,1,1974,1974,DE
Jazz Jackson,1952-03-05,3,1974,1976,RB
David Jaynes,1952-12-12,1,1974,1974,QB
Alfred Jenkins,1952-01-25,9,1975,1983,WR
Dave Jennings,1952-06-08,14,1974,1987,P
Steve Joachim,1952-03-27,1,1976,1976,QB
Andy Johnson,1952-10-18,8,1974,1982,RB
Billy Johnson,1952-01-27,14,1974,1988,WR
Charlie Johnson,1952-02-17,8,1977,1984,NT
Eric Johnson,1952-07-23,3,1977,1979,DB
Gary Johnson,1952-08-31,11,1975,1985,DT-DE-NT
Kermit Johnson,1952-02-22,2,1975,1976,RB
Marshall Johnson,1952-11-01,3,1975,1978,WR-DB
Sammy Johnson,1952-09-22,6,1974,1979,RB
Ed Jones,1952-06-29,1,1975,1975,DB
J.J. Jones,1952-04-16,1,1975,1975,QB
Ken Jones,1952-12-01,12,1976,1987,T-DE
Kim Jones,1952-01-19,4,1976,1979,RB
Shelby Jordan,1952-01-23,11,1975,1986,T
Durwood Keeton,1952-08-14,1,1975,1975,DB
Mark Kellar,1952-07-17,3,1976,1978,RB
Marv Kellum,1952-06-23,4,1974,1977,LB
Vince Kendrick,1952-03-18,2,1974,1976,RB
Jimmie Kennedy,1952-07-30,3,1975,1977,TE
Gene Killian,1952-09-22,1,1974,1974,G
Ernest Kirk,1952-04-14,1,1977,1977,DE
Vic Koegel,1952-11-02,1,1974,1974,LB
Bill Kollar,1952-11-27,8,1974,1981,DE-NT-DT
Keith Krepfle,1952-02-04,8,1975,1982,TE
Al Krevis,1952-07-09,2,1975,1976,T
Terry Kunz,1952-10-26,1,1976,1976,RB
Bob Lally,1952-02-12,1,1976,1976,LB
Jack Lambert,1952-07-08,11,1974,1984,LB
Dave Lapham,1952-06-24,10,1974,1983,G-C-T
Phil LaPorta,1952-05-04,2,1974,1975,T
Greg Latta,1952-10-13,5,1975,1979,TE
Frank LeMaster,1952-03-12,9,1974,1982,LB
Virgil Livers,1952-03-26,5,1975,1979,DB
Steve Loney,1952-04-26,NA,NA,NA,Coach
Clint Longley,1952-07-28,3,1974,1976,QB
Derrel Luce,1952-09-29,6,1975,1980,LLB
Terry Luck,1952-12-14,1,1977,1977,QB
Larry Mallory,1952-07-21,3,1976,1978,DB
Benny Malone,1952-02-03,6,1974,1979,RB
Brison Manor,1952-08-10,8,1977,1984,DE
Gary Marangi,1952-07-29,3,1974,1976,QB
Greg Marderian,1952-01-15,1,1976,1976,DT
Mark Markovich,1952-11-07,4,1974,1977,C-G
James Marshall,1952-09-08,1,1980,1980,DB
Bob McCaffrey,1952-04-16,1,1975,1975,C
Bubba McCollum,1952-09-13,1,1974,1974,DT
Greg McCrary,1952-03-24,6,1975,1981,TE
John McCrumbly,1952-07-28,1,1975,1975,LB
Sam McCullum,1952-11-30,10,1974,1983,WR
Molly McGee,1952-08-26,1,1974,1974,RB
Fred McNeill,1952-05-06,12,1974,1985,LB
Dave Means,1952-01-23,1,1974,1974,DE
Cleo Miller,1952-09-05,9,1974,1982,RB
Mack Mitchell,1952-08-16,5,1975,1979,DE
Wonder Monds,1952-05-03,1,1978,1978,DB
Arnold Morgado,1952-03-27,4,1977,1980,RB
Dennis Morgan,1952-06-26,2,1974,1975,RB
Wayne Mosley,1952-10-06,1,1974,1974,RB
Hans Nielsen,1952-11-18,1,1981,1981,K
Nick Nighswander,1952-11-03,1,1974,1974,C
Mike Nott,1952-05-19,1,1976,1976,QB
Rick Nuzum,1952-06-30,2,1977,1978,C
Steve Odom,1952-09-05,6,1974,1979,WR
Frank Oliver,1952-03-03,2,1975,1976,DB
Ed O'Neil,1952-09-08,7,1974,1980,MLB
Tom Owen,1952-09-01,6,1974,1981,QB
Fred Pagac,1952-04-26,2,1974,1976,TE/Coach
Artimus Parker,1952-01-15,4,1974,1977,DB
Joel Parker,1952-06-23,3,1974,1977,WR
Mike Patrick,1952-09-06,4,1975,1978,P
Lonnie Perrin,1952-02-03,4,1976,1979,RB
Cal Peterson,1952-10-06,7,1974,1982,ROLB
Charlie Phillips,1952-12-22,5,1975,1979,DB
Rod Phillips,1952-12-23,6,1975,1980,RB
Bob Pickard,1952-09-03,1,1974,1974,WR
Reggie Pierson,1952-12-13,1,1976,1976,DB
Lawrence Pillers,1952-11-04,10,1976,1985,DE-DT-NT
Joe Pisarcik,1952-07-02,8,1977,1984,QB
Randy Poltl,1952-03-26,4,1974,1977,DB
Larry Poole,1952-07-31,4,1975,1978,RB
Steve Poole,1952-08-25,1,1976,1976,LB
Ernest Pough,1952-05-17,3,1976,1978,WR
Alan Pringle,1952-01-20,1,1975,1975,K
Garry Puetz,1952-03-14,10,1973,1982,G-T
George Ragsdale,1952-12-04,3,1977,1979,RB-WR
Chuck Ramsey,1952-02-24,8,1977,1984,P
Tommy Reamon,1952-03-12,1,1976,1976,RB
Geoff Reece,1952-05-16,2,1976,1977,C
Steve Reese,1952-01-07,3,1974,1976,MLB
Marion Reeves,1952-02-23,1,1974,1974,DB
Bill Reid,1952-05-02,1,1975,1975,C
Bruce Rhodes,1952-04-17,2,1976,1978,DB
Grady Richardson,1952-04-02,2,1979,1980,TE
Steve Riley,1952-11-23,11,1974,1984,T
Hal Roberts,1952-08-25,1,1974,1974,P
Vern Roberson,1952-08-03,2,1977,1978,DB
Stan Rogers,1952-03-10,1,1975,1975,T
John Roman,1952-08-31,7,1976,1982,T-G
Art Rooney II,1952-09-14,NA,NA,NA,
Fred Rothwell,1952-10-08,1,1974,1974,C
Keith Rowen,1952-09-02,NA,NA,NA,Coach
Tim Rudnick,1952-03-06,1,1974,1974,DB
Paul Ryczek,1952-06-25,8,1974,1987,C
Ron Rydalch,1952-01-01,6,1975,1980,DT
Bill Sandifer,1952-01-05,5,1974,1978,DT-DE
Clarence Sanders,1952-12-28,2,1978,1980,LB
Ken Sawyer,1952-07-22,1,1974,1974,DB
Terry Schmidt,1952-05-28,11,1974,1984,DB
Steven Schnarr,1952-07-30,1,1975,1975,RB
Ken Schroy,1952-09-22,8,1977,1984,DB
Kurt Schumacher,1952-12-26,4,1975,1978,G-T
Freddie Scott,1952-08-05,10,1974,1983,WR
James Scott,1952-03-28,7,1976,1983,WR
Paul Seal,1952-02-27,6,1974,1979,TE
Mike Shanahan,1952-08-24,NA,NA,NA,Coach
Clarence Shelmon,1952-09-17,NA,NA,NA,Coach
Donnie Shell,1952-08-26,14,1974,1987,DB
Henry Sheppard,1952-11-12,6,1976,1981,G-T
Dave Simonson,1952-05-02,4,1974,1977,T
Ron Singleton,1952-04-15,5,1976,1980,T
Barty Smith,1952-04-23,7,1974,1980,RB
Mo Spencer,1952-06-15,4,1974,1978,DB
John Stallworth,1952-07-15,14,1974,1987,WR
Haskel Stanback,1952-03-19,6,1974,1979,RB
Fred Steinfort,1952-11-03,7,1976,1983,K
John Strada,1952-11-13,1,1974,1974,TE
Hal Stringert,1952-01-02,6,1975,1980,DB
Gerry Sullivan,1952-01-15,8,1974,1981,T-C-G
Ian Sunter,1952-12-21,2,1976,1980,K
Lynn Swann,1952-03-07,9,1974,1982,WR
Franklin Tate,1952-11-14,1,1975,1975,LB
Cliff Taylor,1952-05-10,2,1974,1976,RB
Don Testerman,1952-11-07,4,1976,1980,RB
Bob Thomas,1952-08-07,12,1975,1986,K
Leonard Thompson,1952-07-28,12,1975,1986,WR-HB
Woody Thompson,1952-08-20,3,1975,1977,RB
Bob Thornbladh,1952-09-19,1,1974,1974,LB
Andre Tillman,1952-11-01,4,1975,1978,TE
Eric Torkelson,1952-03-03,7,1974,1981,RB
Norv Turner,1952-05-17,NA,NA,NA,Coach
Rick Upchurch,1952-05-20,9,1975,1983,WR
Bob Van Duyne,1952-05-15,7,1974,1980,G-T
Mark van Eeghen,1952-04-19,10,1974,1983,RB
Mike Varty,1952-02-10,2,1974,1975,LB
Glen Walker,1952-01-16,2,1977,1978,P
Louie Walker,1952-07-23,1,1974,1974,LB
Roger Wallace,1952-07-22,1,1976,1976,WR
Dave Wannstedt,1952-05-21,NA,NA,NA,Coach
Jim Weatherly,1952-04-13,1,1976,1976,C
Jimmy Webb,1952-04-13,7,1975,1981,DT-DE
Mike Webster,1952-03-18,17,1974,1990,C-G
C.L. Whittington,1952-08-01,4,1974,1978,DB
Danny White,1952-02-09,13,1976,1988,QB-P
Jeris White,1952-09-03,9,1974,1982,DB
Tom Wickert,1952-04-05,4,1974,1977,T-G
Gerard Williams,1952-05-25,5,1976,1980,DB
Richard Williams,1952-01-30,1,1974,1974,WR
Sam Williams,1952-07-22,3,1974,1976,DB
Jim Wolf,1952-03-04,2,1974,1976,DT-DE
Roscoe Word,1952-07-24,3,1974,1976,DB
Zaven Yaralian,1952-02-05,NA,NA,NA,Coach
Charley Young,1952-10-13,3,1974,1976,RB
Paul Allen,1953-01-21,NA,NA,NA,
Dick Ambrose,1953-01-17,9,1975,1983,LB
Jerry Anderson,1953-10-27,2,1977,1978,DB
Rickey Anderson,1953-05-21,1,1978,1978,RB
Bob Avellini,1953-08-28,9,1975,1984,QB
John Ayers,1953-04-14,11,1977,1987,G-T
Chris Bahr,1953-02-03,14,1976,1989,K
Wayne Baker,1953-07-07,1,1975,1975,DT
Mike Barber,1953-06-04,10,1976,1985,TE
Autry Beamon,1953-11-12,7,1975,1981,DB
Gordon Bell,1953-12-25,3,1976,1978,RB
Theo Bell,1953-12-21,9,1976,1985,WR
Art Best,1953-03-18,3,1977,1980,RB
Dana Bible,1953-10-30,NA,NA,NA,Coach
Jeff Bleamer,1953-06-22,3,1975,1977,T-G
Lynn Boden,1953-06-05,5,1975,1979,G-T
Lon Boyett,1953-12-24,1,1978,1978,TE
Greg Boykin,1953-12-08,2,1977,1978,RB
Henry Bradley,1953-09-04,4,1979,1982,NT-DT
Robert Brazile,1953-02-07,10,1975,1984,LB
Louis Breeden,1953-10-26,10,1978,1987,DB
Bob Breunig,1953-07-04,10,1975,1984,LB
Billy Brooks,1953-07-22,5,1976,1981,WR
Dave Brown,1953-01-16,15,1975,1989,DB
Bob Bruer,1953-05-22,5,1979,1983,TE
Larry Brune,1953-05-04,1,1980,1980,DB
Don Buckey,1953-11-09,1,1976,1976,WR
Danny Buggs,1953-04-22,5,1975,1979,WR
Glenn Bujnoch,1953-12-20,9,1976,1984,G
Scott Bull,1953-06-08,3,1976,1978,QB
Randy Burks,1953-08-22,1,1976,1976,WR
Steve Burks,1953-08-06,3,1975,1977,WR
Jim Burrow,1953-11-29,1,1976,1976,DB
Glenn Cameron,1953-02-21,11,1975,1985,LB
Darryl Carlton,1953-06-24,5,1975,1979,T
Harry Carson,1953-11-26,13,1976,1988,LB
David Carter,1953-11-27,9,1977,1985,C-G
Louis Carter,1953-02-06,4,1975,1978,RB
Craig Cassady,1953-12-21,1,1977,1977,DB
Juan Castillo,1953-10-08,NA,NA,NA,Coach
Rusty Chambers,1953-11-10,6,1975,1980,RILB
Clarence Chapman,1953-12-10,7,1976,1985,DB
Gil Chapman,1953-08-23,1,1975,1975,WR
Tom Clements,1953-06-18,1,1980,1980,QB/Coach
Marvin Cobb,1953-08-06,6,1975,1980,DB
Randy Coffield,1953-12-12,3,1976,1979,LB
Fred Coleman,1953-06-26,1,1976,1976,TE
Mike Collier,1953-09-21,3,1975,1979,RB
Sonny Collins,1953-01-17,1,1976,1976,RB
Jim Cope,1953-06-23,1,1976,1976,LB
Brad Cousino,1953-04-05,3,1975,1977,LB
Reggie Craig,1953-06-10,3,1975,1977,WR
Joe Danelo,1953-09-02,10,1975,1984,K
Brad Davis,1953-02-09,2,1975,1976,RB
Ricky Davis,1953-05-18,3,1975,1977,DB
Tony Davis,1953-01-21,6,1976,1981,RB
Mike Dawson,1953-10-16,9,1976,1984,DT-NT-DE
Jimmy DeRatt,1953-01-19,1,1975,1975,DB
Chris Devlin,1953-11-22,3,1975,1978,LB
Parnell Dickinson,1953-03-14,1,1976,1976,QB
Bucky Dilts,1953-12-06,3,1977,1979,P
Pat Donovan,1953-07-01,9,1975,1983,T
Larry Dorsey,1953-08-15,3,1976,1978,WR
Jerome Dove,1953-10-03,4,1977,1980,DB
Mark Duffner,1953-07-19,NA,NA,NA,Coach
Gary Dunn,1953-08-24,11,1976,1987,NT-DT-DE
Bruce Elia,1953-01-10,4,1975,1978,MLB
Doug English,1953-08-25,10,1975,1985,DT-NT
Mike Esposito,1953-04-24,3,1976,1978,RB
Larry Evans,1953-07-11,8,1976,1983,LILB
Mike Fanning,1953-02-02,10,1975,1984,DT-DE-NT
Ted Farmer,1953-09-08,1,1978,1978,RB
Joe Fields,1953-11-14,14,1975,1988,C-G
Steve Foley,1953-11-11,11,1976,1986,DB
Tim Fox,1953-11-01,11,1976,1986,DB
Dennis Franklin,1953-08-24,2,1975,1976,WR
Dennis Franks,1953-05-29,4,1976,1979,C
Doug France,1953-04-26,8,1975,1983,T
Mike Franckowiak,1953-03-25,4,1975,1978,RB
Russ Francis,1953-04-03,13,1975,1988,TE
Steve Freeman,1953-05-08,13,1975,1987,DB
Brian Fryer,1953-07-16,1,1976,1976,WR
Mike Fuller,1953-04-07,8,1975,1982,DB
Lawrence Gaines,1953-12-15,3,1976,1979,RB
Wentford Gaines,1953-02-04,3,1978,1980,DB
Louie Giammona,1953-03-03,6,1976,1982,RB
Dave Graf,1953-08-05,6,1975,1981,LB
Johnnie Gray,1953-12-18,9,1975,1983,DB
David Green,1953-09-07,1,1982,1982,RB
Steve Grogan,1953-07-24,16,1975,1990,QB
Elois Grooms,1953-05-20,12,1975,1987,DE-DT
Lee Gross,1953-07-29,4,1975,1979,C
Pat Haden,1953-01-23,6,1976,1981,QB
Steve Haggerty,1953-05-17,1,1975,1975,WR
Wes Hamilton,1953-04-24,9,1976,1984,G
Wayne Hammond,1953-01-30,1,1976,1976,DT
Don Hardeman,1953-08-13,5,1975,1979,RB
Roland Harper,1953-02-28,7,1975,1982,RB
Bo Harris,1953-01-16,8,1975,1982,LB
Dennis Harrah,1953-03-09,13,1975,1987,G-C
Kenny Harrison,1953-12-12,4,1976,1980,WR
Jeff Hart,1953-09-10,7,1975,1983,T
Keith Hartwig,1953-12-10,1,1977,1977,WR
Mike Hartenstine,1953-07-27,13,1975,1987,DE
Mike Haynes,1953-07-01,14,1976,1989,DB
Mike Hegman,1953-01-17,12,1976,1987,LB
Thomas Henderson,1953-03-01,6,1975,1980,LLB
Champ Henson,1953-06-01,1,1975,1975,RB
Barry Hill,1953-01-26,2,1975,1976,DB
Jack Holmes,1953-06-20,5,1978,1982,RB
Roland Hooks,1953-01-02,7,1976,1982,RB
Mitch Hoopes,1953-07-08,3,1975,1977,P
