player,birthday,yrs,from,to,month,day,country
James Joseph,1912-03-05,6,1936,1942,3,5,USA
Frank Elmer,1894-03-07,1,1919,1920,3,7,USA
Robert Joseph,1867-01-17,3,1890,1893,1,17,USA
Martin James,1878-11-20,1,1902,1903,11,20,USA
Burdette,1894-06-16,0,1920,1920,6,16,USA
Bradley Edward,1987-04-02,0,2014,2014,4,2,USA
Edward C.,1860-06-15,4,1884,1888,6,15,USA
Harry Melville,1890-06-09,0,1915,1915,6,9,USA
Joseph Charles,1908-11-19,8,1932,1940,11,19,USA
John,1928-07-10,0,1960,1960,7,10,USA
Salvador Michael,1902-05-07,0,1930,1930,5,7,USA
George,1969-06-29,0,1994,1994,6,29,USA
Ross Peter,1976-04-05,11,2000,2011,4,5,USA
Norman Stanley,1894-06-15,0,1914,1914,6,15,USA
Alban,1914-07-12,7,1939,1946,7,12,USA
John Gary,1976-12-03,9,1999,2008,12,3,USA
Koda James,1993-04-13,2,2016,2018,4,13,USA
William Vincent,1925-07-30,5,1949,1954,7,30,USA
Edward Paul,1953-06-03,10,1975,1985,6,3,USA
Ryan David,1974-11-01,6,1999,2005,11,1,USA
Joshua Mercer,1870-01-31,2,1896,1898,1,31,USA
Billy James,1981-07-19,6,2003,2009,7,19,USA
John Peter,1875-09-12,2,1901,1903,9,12,USA
John Michael,1864-10-25,0,1892,1892,10,25,USA
Danny Ray,1946-11-04,0,1974,1974,11,4,USA
Joseph Harold,1950-07-23,0,1972,1972,7,23,USA
Graham H.,1984-08-09,1,2011,2012,8,9,USA
Zachary Thomas,1990-04-21,4,2015,2019,4,21,USA
John Henry,1877-03-10,1,1905,1906,3,10,USA
Carlton Tyrell,1979-07-10,0,2005,2005,7,10,USA
Jacob Dwayne,1987-09-24,0,2014,2014,9,24,USA
Wilbur Edwin,1898-09-01,0,1922,1922,9,1,USA
William John,1871-09-03,0,1899,1899,9,3,USA
Erik Van Norman,1988-12-20,4,2014,2018,12,20,USA
Tyler David,1992-10-20,0,2016,2016,10,20,USA
John Hardy,1937-10-24,0,1960,1960,10,24,USA
Jerry Leroy,1964-04-12,6,1990,1996,4,12,USA
David Paul,1988-10-11,2,2015,2017,10,11,USA
Charles Francis,1945-07-07,2,1972,1974,7,7,USA
William Joseph,1947-10-26,5,1970,1975,10,26,USA
Luiz Henrique,1996-07-31,1,2017,2018,7,31,Brazil
Gregory James,1967-10-29,3,1993,1996,10,29,USA
Ryan Matthew,1988-02-13,6,2013,2019,2,13,USA
Bradley Andrew,1990-02-21,0,2017,2017,2,21,USA
James Edward,1936-03-20,3,1960,1963,3,20,USA
Michael Henry,1851-09-11,3,1875,1878,9,11,USA
Roy Kramer,1888-07-12,1,1910,1911,7,12,USA
Jonah John,1906-08-29,3,1928,1931,8,29,USA
Fredrick Ernest,1856-05-15,9,1875,1884,5,15,USA
Gordon Frederick,1927-08-30,3,1949,1952,8,30,USA
Harold Eugene,1898-08-18,3,1926,1929,8,18,USA
Isidore,1908-06-06,0,1932,1932,6,6,Russia
Leslie Elmer,1918-05-13,3,1943,1946,5,13,USA
Paul Edward,1987-09-10,8,2011,2019,9,10,USA
Walton Hugh,1861-12-31,4,1884,1888,12,31,USA
Purnal William,1937-11-28,1,1962,1963,11,28,USA
Stanley,1918-05-21,0,1941,1941,5,21,USA
Michael Mitchell,1921-11-05,3,1949,1952,11,5,USA
Gregory Joseph,1985-09-17,3,2008,2011,9,17,USA
David Allan,1949-06-23,11,1972,1983,6,23,USA
Walter George,1894-02-01,0,1922,1922,2,1,USA
Austin Zachary,1993-11-23,0,2018,2018,11,23,USA
Brandon Paul,1984-07-15,4,2011,2015,7,15,USA
Jonathan Johnson,1980-11-22,12,2003,2015,11,22,USA
Wayne Maurice,1973-01-15,5,1997,2002,1,15,USA
Yan,1987-07-19,7,2012,2019,7,19,Brazil
Alexis de Jesus,1978-08-08,4,2002,2006,8,8,D.R.
Carlos Argelis,1985-12-04,12,2007,2019,12,4,D.R.
Jose Luis,1909-03-23,7,1935,1942,3,23,Mexico
Christopher Cory,1971-06-16,15,1993,2008,6,16,USA
Hector Alexis,1988-03-05,4,2011,2015,3,5,D.R.
Jeanmar Alejandro,1988-02-10,9,2010,2019,2,10,Venezuela
Vernon Louis,1908-11-26,13,1930,1943,11,26,USA
Leonardo,1966-03-02,6,1990,1996,3,2,P.R.
Luis,1951-08-19,7,1974,1981,8,19,Mexico
Mauro Alexis,1984-09-07,0,2012,2012,9,7,D.R.
Miguel Angel,1992-12-17,1,2017,2018,12,17,D.R.
Patrick Alexander,1968-03-17,2,1993,1995,3,17,USA
Preston,1923-04-20,0,1944,1944,4,20,Cuba
Randell Scott,1957-02-04,0,1984,1984,2,4,USA
Roberto Ezequiel,1989-08-03,1,2017,2018,8,3,D.R.
Ruben,1927-07-13,14,1953,1967,7,13,P.R.
Jesse Lemar,1936-01-20,7,1960,1967,1,20,USA
Stephen William,1994-07-08,0,2018,2018,7,8,USA
Anthony D.,1994-05-14,0,2019,2019,5,14,USA
Adrian Sabin,1982-05-08,14,2004,2018,5,8,USA
Alexander Scott,1973-04-08,12,1994,2006,4,8,USA
Alexander,1977-02-15,16,1998,2014,2,15,Venezuela
Alberto Ramon,1983-04-18,6,2007,2013,4,18,Venezuela
Alfredo Rene,1992-07-13,0,2018,2018,7,13,Venezuela
Angel Manuel,1981-12-15,2,2007,2009,12,15,P.R.
Carlos Eduardo,1985-10-17,11,2008,2019,10,17,Venezuela
Alexander,1992-01-15,4,2015,2019,1,15,USA
Daniel David,1953-09-30,1,1979,1980,9,30,USA
Denio Mariano,1963-07-22,5,1984,1989,7,22,D.R.
Dicky Angel,1978-12-21,3,2001,2004,12,21,P.R.
Edgar Gerardo,1983-02-23,10,2003,2013,2,23,Mexico
Edgar Victor,1978-06-14,1,2008,2009,6,14,USA
Enrique Cesar,1982-07-14,5,2006,2011,7,14,Venezuela
Erik,1991-08-31,3,2016,2019,8,31,D.R.
Eusebio Miguel,1892-07-13,0,1918,1918,7,13,Cuba
Jose Fernando,1950-06-19,7,1972,1979,6,19,P.R.
Fredi Jesus,1964-01-28,NA,NA,NA,1,28,Cuba
Gabriel,1972-05-24,0,1998,1998,5,24,USA
German Jose,1962-03-07,1,1988,1989,3,7,Venezuela
Giovany Aramis,1985-09-19,11,2008,2019,9,19,USA
Geremis Segundo,1975-01-08,9,1997,2006,1,8,Venezuela
Joe Madrid,1915-03-19,0,1937,1937,3,19,USA
Jose Rafael,1964-11-23,7,1985,1992,11,23,D.R.
Julio Enrique,1920-12-20,0,1949,1949,12,20,Cuba
Julio Cesar,1952-12-25,6,1977,1983,12,25,P.R.
Juan Alberto,1969-10-20,16,1989,2005,10,20,P.R.
Lawrence Christopher,1967-03-28,0,1993,1993,3,28,USA
Lariel Alfonso,1976-05-25,0,1998,1998,5,25,D.R.
Luis Emilio,1967-09-03,18,1990,2008,9,3,USA
Luis Alberto,1979-06-26,2,2004,2006,6,26,Venezuela
Marwin Javier,1989-03-14,7,2012,2019,3,14,Venezuela
Marco Elias,1992-02-16,5,2014,2019,2,16,USA
Merandy,1995-10-09,0,2018,2018,10,9,D.R.
Miguel Angel,1890-09-24,20,1912,1932,9,24,Cuba
Michael Vela,1978-05-23,10,2003,2013,5,23,USA
Miguel Angel,1984-05-27,6,2012,2018,5,27,Mexico
Miguel Antonio,1990-12-03,0,2013,2013,12,3,Venezuela
Miguel Alfredo,1983-09-23,0,2014,2014,9,23,Cuba
Orlando Eugene,1951-11-15,4,1976,1980,11,15,Cuba
Pedro,1937-12-12,4,1963,1967,12,12,D.R.
Victor Raul,1973-12-27,4,2000,2004,12,27,P.R.
Rene Adrian,1960-09-03,13,1984,1997,9,3,USA
Severino Yunier,1992-09-28,1,2015,2016,9,28,Panama
Andres Antonio,1936-08-28,11,1960,1971,8,28,Cuba
Wenceslao,1925-09-28,0,1955,1955,9,28,Cuba
Wiklenman Vicente,1974-05-17,7,1999,2006,5,17,Venezuela
Charles Furman,1902-06-05,0,1929,1929,6,5,USA
John Beverley,1897-11-09,12,1921,1933,11,9,USA
Lee Currin,1890-02-23,2,1915,1917,2,23,USA
Herbert Frank,1866-08-10,0,1890,1890,8,10,USA
Andrew Richard,1979-09-19,2,2003,2005,9,19,USA
Dwight Eugene,1964-11-16,16,1984,2000,11,16,USA
John Henry William,1907-04-05,0,1928,1928,4,5,USA
Michael J.,1866-10-03,1,1887,1888,10,3,USA
Eugene Joseph,1882-12-13,0,1906,1906,12,13,USA
William Dale,1926-03-22,15,1947,1962,3,22,USA
Ival Richard,1908-07-23,9,1935,1944,7,23,USA
Jacob,1853-09-14,4,1878,1882,9,14,USA
Ralph Nelson,1886-04-25,0,1910,1910,4,25,USA
Cartier Niko,1992-02-28,2,2017,2019,2,28,USA
James Edward,1948-01-25,7,1970,1977,1,25,USA
Arthur Ingram,1876-02-27,0,1905,1905,2,27,USA
Brian Christopher,1990-11-02,3,2016,2019,11,2,USA
Clyde Thurston,1881-09-02,0,1906,1906,9,2,USA
Curtis LaMar,1972-09-30,4,1995,1999,9,30,USA
Danny Kay,1953-09-02,7,1975,1982,9,2,USA
Wilbur David,1885-09-28,13,1905,1918,9,28,USA
James Patrick,1926-08-15,0,1948,1948,8,15,USA
Marvin Mardo,1891-01-16,9,1916,1925,1,16,USA
Claire Vernon,1891-12-19,1,1914,1915,12,19,USA
Thomas Jones,1968-07-27,13,1991,2004,7,27,USA
Nicholas Gunnar,1991-07-06,4,2015,2019,7,6,USA
Raymond Daniel,1919-09-05,0,1946,1946,9,5,USA
Gregory Bryant,1945-12-14,5,1965,1970,12,14,USA
Glen Edward,1930-07-08,2,1955,1957,7,8,CAN
Raymond Cornelius,1892-04-11,1,1921,1922,4,11,USA
Alex Jonathan,1984-02-10,12,2007,2019,2,10,USA
Brian Ernest,1978-08-16,3,2008,2011,8,16,USA
Devaris,1988-04-22,8,2011,2019,4,22,USA
Donald Thomas,1959-10-10,2,1986,1988,10,10,USA
Joseph Lowell,1915-02-18,12,1938,1950,2,18,USA
Keith Bradley,1969-01-22,0,1993,1993,1,22,USA
Michael William,1953-09-11,1,1977,1978,9,11,USA
Sidney,1917-08-13,14,1941,1955,8,13,USA
Thomas,1967-11-18,21,1988,2009,11,18,USA
Reid Evan,1980-12-22,0,2009,2009,12,22,USA
Richard John,1973-08-27,1,1997,1998,8,27,USA
George F.,1854-05-03,13,1879,1892,5,3,USA
Terrance J.,1991-06-08,5,2014,2019,6,8,USA
Robert John,1952-01-07,0,1977,1977,1,7,USA
Charles Perry,1928-02-06,1,1954,1955,2,6,USA
Herbert Allen,1924-12-19,0,1952,1952,12,19,USA
Howard Paul,1913-05-14,1,1937,1938,5,14,USA
Thomas David,1919-03-16,0,1939,1939,3,16,USA
Thomas Aloysius,1925-01-04,7,1952,1959,1,4,USA
Thomas Patrick,1957-12-16,6,1981,1987,12,16,USA
Joseph,1866-12-20,0,1891,1891,12,20,USA
Nicholas Anthony,1979-04-19,0,2007,2007,4,19,USA
Henry Frank,1911-01-14,5,1941,1946,1,14,USA
John Joseph Perry,1915-03-29,7,1940,1947,3,29,USA
John Albert,1933-10-21,7,1957,1964,10,21,USA
Thomas Stephen,1982-07-12,11,2005,2016,7,12,USA
Anthony Robert,1990-08-10,4,2012,2016,8,10,USA
James Benjamin,1983-08-17,4,2013,2017,8,17,USA
James Charles,1942-11-06,11,1963,1974,11,6,USA
Leon Allen,1900-10-16,17,1921,1938,10,16,USA
Michael Frederick,1980-09-23,5,2004,2009,9,23,USA
Richard Michael,1951-07-05,22,1972,1994,7,5,USA
Daniel James,1992-11-13,1,2017,2018,11,13,USA
John Star,1890-08-21,1,1913,1914,8,21,USA
Philip David,1988-10-03,6,2013,2019,10,3,USA
Howard Wayne,1934-11-01,1,1962,1963,11,1,USA
Julio Enrique,1939-06-09,9,1960,1969,6,9,P.R.
Ruben Bruce,1982-12-25,4,2004,2008,12,25,P.R.
James William,1959-08-03,13,1982,1995,8,3,USA
Trevor Vaughan,1992-08-26,4,2015,2019,8,26,USA
Theodore Lee,1889-08-12,0,1912,1912,8,12,USA
Albert Frank,1893-01-20,1,1916,1917,1,20,USA
Charles Harvey,1847-08-21,6,1871,1877,8,21,USA
Nicholas Edward,1916-11-13,1,1944,1945,11,13,USA
Yulieski,1984-06-09,3,2016,2019,6,9,Cuba
Harry Morgan,1889-08-24,20,1910,1930,8,24,USA
Lawrence Clyde,1948-05-02,0,1972,1972,5,2,USA
Mauro Paul,1966-03-07,5,1989,1994,3,7,USA
Billy Cordell,1946-01-18,6,1969,1975,1,18,USA
Rodney Blaine,1930-06-20,0,1958,1958,6,20,USA
Alfons Francis,1901-09-04,1,1929,1930,9,4,USA
Jason William,1976-05-24,3,2002,2005,5,24,USA
John Patrick,1900-01-07,7,1924,1931,1,7,USA
John William,1978-11-04,8,2003,2011,11,4,USA
Reginald John,1907-07-16,2,1932,1934,7,16,USA
Robert Earl,1907-02-24,8,1929,1937,2,24,USA
Franklyn Benjamin,1979-08-20,0,2004,2004,8,20,D.R.
Joseph LaVerne,1914-01-05,9,1938,1947,1,5,USA
Mark Eugene,1964-06-28,15,1988,2003,6,28,USA
Matthew Aaron,1988-12-14,4,2015,2019,12,14,USA
Michael Lee,1956-06-14,0,1978,1978,6,14,USA
Michael James,1970-06-20,4,1995,1999,6,20,USA
John F.,1858-12-15,0,1884,1884,12,15,USA
Michael William,1869-12-23,12,1894,1906,12,23,USA
Frederick Gottleib,1889-08-25,0,1913,1913,8,25,USA
Louis George,1866-07-25,0,1890,1890,7,25,USA
Samuel Mason,1843-12-08,NA,NA,NA,12,8,USA
Milton Edward,1930-12-30,1,1957,1958,12,30,USA
Anthony Joseph,1972-06-06,13,1996,2009,6,6,USA
James,1865-01-08,0,1889,1889,1,8,USA
Bert,1886-04-03,0,1910,1910,4,3,USA
William James,1883-07-22,2,1908,1910,7,22,USA
William Albert,1937-01-21,1,1966,1967,1,21,USA
Charles Henry,1878-04-24,0,1906,1906,4,24,USA
Daniel Jay,1954-07-19,2,1979,1981,7,19,USA
Jack Bernard,1916-12-24,3,1946,1949,12,24,USA
Johnathan Ryan,1990-01-14,1,2015,2016,1,14,USA
Lee Willard,1959-09-22,0,1983,1983,9,22,USA
Archibald Wright,1877-11-12,0,1905,1905,11,12,USA
Oscar Marion,1878-07-20,0,1907,1907,7,20,USA
George Frederick,1877-03-23,10,1902,1912,3,23,USA
Roy Vincent,1895-02-22,1,1922,1923,2,22,USA
Kyle,1899-08-14,5,1924,1929,8,14,USA
Arthur William,1909-08-12,1,1934,1935,8,12,USA
Dawson Francis,1892-09-09,0,1914,1914,9,9,USA
Tyler Lewis,1984-01-25,0,2012,2012,1,25,USA
Wayne Leon,1936-04-06,1,1963,1964,4,6,USA
Joseph Milton,1967-08-14,9,1990,1999,8,14,USA
Alex Joseph,1977-11-17,1,2004,2005,11,17,USA
Bert Thomas,1945-04-19,0,1968,1968,4,19,USA
Alexander Peter,1926-04-03,9,1954,1963,4,3,USA
Henry Eckhard,1903-09-28,2,1927,1929,9,28,USA
Curtis,1981-03-16,15,2004,2019,3,16,USA
Yasmani,1988-11-08,7,2012,2019,11,8,Cuba
John Gladstone,1886-06-10,14,1908,1922,6,10,CAN
Jeffrey Adam,1971-12-16,4,1993,1997,12,16,USA
Wayne Allan,1944-03-15,8,1968,1976,3,15,USA
Zachary Thomas,1992-09-17,0,2017,2017,9,17,USA
Edward Leslie,1883-05-21,10,1905,1915,5,21,USA
Ulysses Franklin,1865-08-01,NA,NA,NA,8,1,USA
George Farley,1900-05-20,12,1922,1934,5,20,USA
George Addison,1903-01-06,8,1923,1931,1,6,USA
James Ronald,1894-08-04,0,1923,1923,8,4,USA
James Charles,1918-10-06,2,1942,1944,10,6,USA
Mark Andrew,1963-10-24,9,1984,1993,10,24,USA
James Timothy,1935-08-13,13,1958,1971,8,13,USA
Thomas Raymond,1957-05-28,0,1983,1983,5,28,USA
Richard Ray,1958-04-16,2,1983,1985,4,16,USA
Louis Junior,1924-09-11,0,1948,1948,9,11,USA
Newton Michael,1920-05-10,9,1946,1955,5,10,USA
Beiker,1974-11-09,0,1999,1999,11,9,Venezuela
Brusdar Javier,1998-08-26,0,2019,2019,8,26,Venezuela
Donald,1923-08-27,1,1945,1946,8,27,USA
Juan Jose,1989-02-14,3,2016,2019,2,14,Venezuela
Mark Anthony,1964-01-19,2,1991,1993,1,19,USA
William,1868-07-24,0,1891,1891,7,24,USA
Brett Thomas,1993-01-30,0,2018,2018,1,30,USA
Daniel Peter,1973-08-07,10,1996,2006,8,7,Viet Nam
Frank Norris,1860-11-02,0,1886,1886,11,2,USA
Joseph Ebenezer,1906-02-26,0,1926,1926,2,26,USA
Kendall Chase,1990-12-21,4,2014,2018,12,21,USA
Samuel Sidney,1901-11-30,0,1927,1927,11,30,USA
George Edward,1873-07-17,0,1899,1899,7,17,USA
David Alexander,1943-01-07,0,1964,1964,1,7,USA
Richard Benjamin,1931-07-11,2,1958,1960,7,11,USA
William Denton,1878-12-04,2,1909,1911,12,4,USA
Samuel David,1897-10-15,9,1924,1933,10,15,USA
Gary George,1952-09-21,5,1977,1982,9,21,USA
Jeffrey Edward,1963-04-10,3,1988,1991,4,10,USA
Jeffrey Michael,1981-11-19,4,2008,2012,11,19,USA
James W.,1862-08-07,9,1884,1893,8,7,USA
John Leonard,1926-12-11,4,1954,1958,12,11,USA
Jonathan Charles,1991-11-05,4,2015,2019,11,5,USA
Lorenzo,1958-03-04,1,1982,1983,3,4,USA
Milton Marshall,1914-02-21,0,1937,1937,2,21,USA
Peter J.,1915-03-06,0,1945,1945,3,6,USA
Sonny Douglas,1989-11-07,6,2013,2019,11,7,USA
Stanley Oscar,1888-12-10,0,1912,1912,12,10,USA
Ted Glenn,1924-12-31,9,1946,1955,12,31,USA
Eli,1934-08-09,4,1959,1963,8,9,USA
William Henry,1924-09-03,0,1954,1954,9,3,USA
John A.,1851-07-29,0,1873,1873,7,29,USA
Craig Allen,1964-12-29,11,1990,2001,12,29,USA
Adam Daniel,1981-02-21,7,2005,2012,2,21,USA
Altar Alfonse,1954-11-09,0,1979,1979,11,9,USA
Andrew Mulligan,1977-07-07,5,2004,2009,7,7,USA
William Fitter,1857-04-19,8,1882,1890,4,19,USA
Robert Chandler,1928-03-13,1,1954,1955,3,13,Mexico
Christopher DeWayne,1960-09-05,0,1984,1984,9,5,USA
Charles Patrick,1971-01-23,4,1996,2000,1,23,USA
Chad Keith,1991-05-24,3,2016,2019,5,24,USA
Edward,1876-11-06,7,1898,1905,11,6,USA
George Dallas,1934-08-04,7,1960,1967,8,4,USA
David Alejandro,1960-12-04,6,1981,1987,12,4,Nicaragua
Richard Larry,1941-04-21,11,1963,1974,4,21,USA
Fred Allen,1933-09-14,5,1959,1964,9,14,USA
Gary Allan,1962-01-14,6,1986,1992,1,14,USA
Gene Leroy,1933-06-26,6,1957,1963,6,26,USA
Grant Thomas,1987-09-27,4,2013,2017,9,27,USA
Henry Benjamin,1911-01-01,17,1930,1947,1,1,USA
Harvey George,1915-02-09,0,1935,1935,2,9,USA
David Jason,1975-06-05,0,2000,2000,6,5,CAN
James F.,1854-05-22,0,1884,1884,5,22,USA
James Raymond,1927-10-24,4,1952,1956,10,24,USA
Joseph Henry,1897-09-17,0,1924,1924,9,17,USA
Julius Foust,1899-06-25,1,1928,1929,6,25,USA
Kent,1902-07-01,5,1924,1929,7,1,USA
Khalil Thabit,1979-10-21,6,2003,2009,10,21,USA
Leonard Charles,1933-01-06,11,1957,1968,1,6,USA
Michael Lewis,1963-07-18,11,1985,1996,7,18,USA
Nelson George,1899-09-20,1,1924,1925,9,20,USA
Nicholas Anthony,1978-09-10,9,2004,2013,9,10,USA
Nicholas Richard,1987-09-28,1,2014,2015,9,28,USA
Patrick Joseph,1875-03-20,1,1902,1903,3,20,USA
Elijah Jerry,1933-10-27,4,1959,1963,10,27,USA
Richard Douglas,1971-01-02,0,1999,1999,1,2,USA
Bertrum Scarborough,1974-06-09,3,1997,2000,6,9,USA
Sean William,1979-04-20,5,2006,2011,4,20,USA
Shawn David,1972-11-10,14,1993,2007,11,10,USA
Shane,1988-11-17,5,2014,2019,11,17,USA
Steve,1978-01-26,0,2001,2001,1,26,CAN
Taylor William Andrew,1986-11-02,1,2011,2012,11,2,CAN
Ira Thomas,1967-04-06,8,1989,1997,4,6,USA
Todd Anthony,1971-05-08,10,1996,2006,5,8,USA
Tyler Scott,1970-02-18,5,1993,1998,2,18,USA
James Tyler,1983-08-17,4,2009,2013,8,17,USA
Willie Louis,1971-09-23,8,1992,2000,9,23,USA
Zachary,1994-03-07,0,2019,2019,3,7,USA
Brian Keith,1959-05-14,2,1977,1979,5,14,USA
Edward,1863-07-29,2,1885,1887,7,29,USA
Kenneth William,1967-05-12,2,1993,1995,5,12,USA
Thurman Clyde,1969-01-21,8,1994,2002,1,21,USA
Lucas John,1984-05-14,10,2009,2019,5,14,USA
David Charles,1891-03-14,0,1913,1913,3,14,USA
Harold Dana,1921-07-11,9,1943,1952,7,11,USA
Kevin Marschall,1978-06-20,12,2003,2015,6,20,USA
William Thomas,1963-07-29,10,1987,1997,7,29,USA
Sylveanus Augustus,1885-04-13,14,1911,1925,4,13,USA
Mariekson Julius,1990-02-18,7,2012,2019,2,18,Netherlands
Frank Ernst,1888-07-25,0,1912,1912,7,25,USA
Howard Watterson,1886-11-18,0,1911,1911,11,18,USA
Grover LeRoy,1938-06-02,0,1964,1964,6,2,USA
Paul Edwin,1908-06-09,1,1932,1933,6,9,USA
Thomas Andrew,1977-05-05,0,2003,2003,5,5,USA
William Briley,1950-04-25,5,1971,1976,4,25,USA
Grayson James,1992-10-11,1,2018,2019,10,11,USA
Donald Zachary,1983-10-21,15,2004,2019,10,21,USA
Seth Adam,1975-07-29,7,1998,2005,7,29,USA
Lorenzo Edward,1874-03-30,9,1895,1904,3,30,USA
Lewis Edward,1919-08-05,2,1940,1942,8,5,USA
William Joseph,1898-03-05,0,1919,1919,3,5,USA
William Tolan,1871-04-15,8,1890,1898,4,15,USA
Romer Carl,1875-04-08,0,1903,1903,4,8,USA
Robert Anthony,1949-01-15,16,1970,1986,1,15,USA
Randal Alexander,1991-08-13,5,2014,2019,8,13,USA
Carlos Phillipe,1897-12-10,0,1920,1920,12,10,USA
Benjamin,1976-05-04,8,1997,2005,5,4,USA
Thomas Alan,1948-03-04,9,1970,1979,3,4,USA
Arthur Joseph,1988-01-28,5,2012,2017,1,28,USA
Alfredo Claudino,1957-10-06,17,1976,1993,10,6,D.R.
Bartholomew Joseph,1896-03-03,2,1922,1924,3,3,USA
Clark Calvin,1869-11-20,23,1891,1914,11,20,USA
Robert Derrell,1943-12-12,3,1963,1966,12,12,USA
Douglas Lee,1947-06-04,7,1970,1977,6,4,USA
Frank Wesley,1872-11-18,2,1892,1894,11,18,USA
James Linton,1886-07-11,1,1911,1912,7,11,USA
Ivy Moore,1896-11-16,2,1919,1921,11,16,USA
Jeremy Richard,1978-03-22,1,2003,2004,3,22,USA
John-Ford David,1979-11-19,2,2005,2007,11,19,USA
George Kenneth,1950-04-10,18,1973,1991,4,10,USA
George Kenneth,1969-11-21,21,1989,2010,11,21,USA
Leon Clifford,1925-05-20,0,1946,1946,5,20,USA
Martin John,1901-09-02,0,1928,1928,9,2,USA
Michael Joseph,1865-03-20,11,1887,1898,3,20,USA
Michael Leroy,1957-06-26,10,1979,1989,6,26,USA
Patrick Richard,1893-05-06,0,1914,1914,5,6,USA
Francis Arthur,1896-04-24,3,1917,1920,4,24,USA
Tobias Charles,1858-10-24,9,1884,1893,10,24,USA
Thomas Herman,1889-10-26,12,1913,1925,10,26,USA
Thomas James,1948-02-22,13,1969,1982,2,22,USA
Arthur Carle,1883-12-10,9,1909,1918,12,10,USA
Harold Lloyd,1928-08-24,3,1956,1959,8,24,USA
Denver Clarence,1901-03-25,2,1923,1925,3,25,USA
Guido John,1939-01-09,0,1966,1966,1,9,USA
Jason Michael,1976-11-11,17,2000,2017,11,11,USA
Stephen Joseph,1949-05-02,4,1975,1979,5,2,USA
Robert Anton,1930-03-08,8,1954,1962,3,8,USA
Burleigh Arland,1893-08-18,18,1916,1934,8,18,USA
Edward Adelbert,1905-09-08,1,1931,1932,9,8,USA
John Thomas,1869-04-17,0,1897,1897,4,17,USA
Oscar Ray,1915-04-13,8,1938,1946,4,13,USA
Oscar Ray,1893-09-11,6,1920,1926,9,11,USA
Austin Roy,1893-09-11,0,1920,1920,9,11,USA
John Helm,1867-08-09,11,1888,1899,8,9,USA
Charles John,1898-08-28,20,1916,1936,8,28,USA
Justin Scott,1988-08-16,6,2012,2018,8,16,USA
Jason Alan,1967-08-07,17,1989,2006,8,7,USA
Myron Frederick,1875-11-30,2,1905,1907,11,30,USA
Ross Albert,1922-06-04,0,1951,1951,6,4,USA
Ross Albert,1950-01-07,11,1971,1982,1,7,USA
Donald Dexter,1888-03-07,6,1912,1918,3,7,USA
Trenton Marcus,1996-11-01,0,2019,2019,11,1,USA
Lee Theo,1907-10-23,7,1934,1941,10,23,USA
Marvin Edward,1918-03-31,13,1946,1959,3,31,USA
Marquis Deon,1967-04-17,16,1989,2005,4,17,USA
Richard Morrow,1930-11-04,15,1952,1967,11,4,USA
Conrad George,1932-11-09,0,1956,1956,11,9,USA
John,1917-02-26,6,1941,1947,2,26,USA
Henry Knight,1889-09-18,15,1912,1927,9,18,USA
Lewis Carl,1883-10-16,0,1919,1919,10,16,USA
Stephen Joseph,1920-01-15,16,1941,1957,1,15,USA
Lee Mathew,1978-08-21,0,2007,2007,8,21,USA
Robert,1884-09-12,9,1909,1918,9,12,USA
Wedsel Gary,1965-07-10,13,1992,2005,7,10,USA
Howard Hoffman,1906-04-10,2,1930,1932,4,10,USA
Donald John,1931-06-30,5,1955,1960,6,30,USA
Emil Michael,1858-03-04,5,1879,1884,3,4,USA
Gabriel Jordan,1979-10-21,6,2004,2010,10,21,USA
George Albert,1880-04-11,0,1901,1901,4,11,USA
Gregory Eugene,1952-08-01,16,1973,1989,8,1,USA
Harley Joseph,1930-05-05,0,1952,1952,5,5,USA
Kevin Frank,1961-06-08,14,1983,1997,6,8,USA
Kip Lee,1964-08-24,10,1990,2000,8,24,USA
Robert Edward,1989-09-16,6,2013,2019,9,16,USA
Ewell,1896-02-21,0,1925,1925,2,21,USA
Wayne Dale,1952-01-14,10,1976,1986,1,14,USA
Gerald Wayne,1942-10-06,18,1963,1981,10,6,USA
Jeffrey Scott,1965-12-08,3,1992,1995,12,8,USA
Ernest John,1884-12-24,0,1904,1904,12,24,USA
Ernest William,1922-05-03,2,1947,1949,5,3,USA
John Thomas,1926-07-23,14,1946,1960,7,23,USA
Matthew Allen,1967-12-05,0,1995,1995,12,5,USA
Zac,1993-02-17,0,2019,2019,2,17,USA
Charles Byrd,1890-06-20,0,1913,1913,6,20,USA
Robert Moses,1900-03-06,16,1925,1941,3,6,USA
Orval Leroy,1919-08-29,9,1940,1949,8,29,USA
Roy Arthur,1892-01-17,3,1916,1919,1,17,USA
Harvey Harrison,1890-09-18,0,1912,1912,9,18,USA
John Raymond,1948-08-04,15,1972,1987,8,4,USA
Thomas Dillard,1894-02-22,0,1920,1920,2,22,USA
Franklin Thomas,1905-01-07,10,1931,1941,1,7,USA
Henry John,1863-12-14,4,1887,1891,12,14,USA
Jarrett George,1981-11-05,0,2014,2014,11,5,USA
Kelly Wayne,1962-02-26,9,1984,1993,2,26,USA
Mark James,1970-06-30,15,1995,2010,6,30,USA
Deivy Wilfin,1996-02-17,0,2019,2019,2,17,D.R.
Kenneth Allan,1969-08-26,1,1996,1997,8,26,USA
Alfred Henry,1930-02-13,4,1955,1959,2,13,USA
Kevin John,1973-11-15,4,2002,2006,11,15,USA
