player,birthday,yrs
Corky Calhoun,1950-11-01,8
Joe Chealey,1995-11-01,2
Semaj Christon,1992-11-01,1
Johnny Cox,1936-11-01,1
Earl Dodd,1924-11-01,1
Eric Fernsten,1953-11-01,6
Levi Fontaine,1948-11-01,1
Tim Frazier,1990-11-01,6
Clarence Glover,1947-11-01,1
Marcus Landry,1985-11-01,1
Bob Mullens,1922-11-01,1
Chinanu Onuaku,1996-11-01,2
Derek Smith,1961-11-01,9
Andy Tonkovich,1922-11-01,1
Jake Voskuhl,1977-11-01,9
Rodney Buford,1977-11-02,5
Chet Carlisle,1916-11-02,1
Keith Jennings,1968-11-02,3
Harry Laurie,1944-11-02,1
Ron Lee,1952-11-02,6
Jim Luisi,1928-11-02,1
DeMarcus Nelson,1985-11-02,1
Tibor Pleiß,1989-11-02,1
Andy Rautins,1986-11-02,1
Ron Reed,1942-11-02,2
Whitey Skoog,1926-11-02,6
Leon Smith,1980-11-02,2
Guy Sparrow,1932-11-02,3
Tom Thacker,1939-11-02,7
Dave Wohl,1949-11-02,7
Tariq Abdul-Wahad,1974-11-03,6
Bob Arnzen,1947-11-03,4
Myron Brown,1969-11-03,1
Nat Frankel,1913-11-03,1
Diante Garrett,1988-11-03,2
Darrin Hancock,1971-11-03,3
Tyler Hansbrough,1985-11-03,7
Bob Hopkins,1934-11-03,4
Steve Johnson,1957-11-03,10
Ty Lawson,1987-11-03,8
Wayne See,1923-11-03,1
Dick Triptow,1922-11-03,2
George Yardley*,1928-11-03,7
Em Bryant,1938-11-04,8
Bill Calhoun,1927-11-04,7
Jimmy Carruth,1969-11-04,1
Dick Groat,1930-11-04,1
Steffond Johnson,1962-11-04,1
Mikki Moore,1975-11-04,13
Eric Paschall,1996-11-04,1
Gene Rock,1921-11-04,1
Matt Wenstrom,1970-11-04,1
Randy White,1967-11-04,5
Chris Wright,1989-11-04,1
Lorenzen Wright,1975-11-04,13
Jordan Bone,1997-11-05,1
Steve Burtt,1962-11-05,4
James Collins,1973-11-05,1
Rod Freeman,1950-11-05,1
Otis Howard,1956-11-05,1
D.J. Kennedy,1989-11-05,1
Trey Lyles,1995-11-05,5
Ian Mahinmi,1986-11-05,12
O.J. Mayo,1987-11-05,8
Keith McLeod,1979-11-05,4
Larry Moffett,1954-11-05,1
Dean Oliver,1978-11-05,2
Theo Pinson,1995-11-05,2
Fred Sheffield,1923-11-05,1
Jerry Stackhouse,1974-11-05,18
Bill Walton*,1952-11-05,10
Mark West,1960-11-05,17
Bob Carpenter,1917-11-06,2
Charlie Criss,1948-11-06,8
John Holland,1988-11-06,2
Luke Jackson,1981-11-06,4
Steve Kuberski,1947-11-06,9
Doron Lamb,1991-11-06,2
Lamar Odom,1979-11-06,14
Jack Phelan,1925-11-06,1
John Tresvant,1939-11-06,9
Sun Yue,1985-11-06,1
Al Attles*,1936-11-07,11
Greg Dreiling,1962-11-07,10
Darnell Jackson,1985-11-07,3
Tony Jackson,1942-11-07,2
Ken Johnson,1962-11-07,1
Gani Lawal,1988-11-07,1
Jim O'Brien,1951-11-07,2
Rubin Russell,1944-11-07,1
Brook Steppe,1959-11-07,5
Wayne Yates,1937-11-07,1
Isaac Bonga,1999-11-08,2
Maurice Evans,1978-11-08,9
Jonathan Gibson,1987-11-08,2
Dan Hester,1948-11-08,1
Wilbur Holland,1951-11-08,4
Geoff Huston,1957-11-08,8
Andy Johnson,1932-11-08,4
Brevin Knight,1975-11-08,12
Don Lofgran,1929-11-08,4
Toure' Murry,1989-11-08,2
Delaney Rudd,1962-11-08,4
Tom Sanders*,1938-11-08,13
Collis Temple,1952-11-08,1
Malcolm Thomas,1988-11-08,4
Darryl Watkins,1984-11-08,2
John Battle,1962-11-09,10
Anthony Bowie,1963-11-09,8
Mel Davis,1950-11-09,4
Frank Selvy,1932-11-09,9
D.J. Augustin,1987-11-10,12
Jerry Baskerville,1951-11-10,1
Troy Bell,1980-11-10,1
Lionel Chalmers,1980-11-10,1
Gene Conley,1930-11-10,6
Normie Glick,1927-11-10,1
Barry Kramer,1942-11-10,2
Kendrick Perkins,1984-11-10,14
Jacob Pullen,1989-11-10,1
Craig Smith,1983-11-10,6
Tony Snell,1991-11-10,7
John Williamson,1951-11-10,8
Hilton Armstrong,1984-11-11,6
LaMark Baker,1969-11-11,1
Bill Downey,1923-11-11,1
Earl Evans,1955-11-11,1
Matt Guokas,1915-11-11,1
Kevin Kunnert,1951-11-11,9
Rudy LaRusso,1937-11-11,10
Perry Moss,1958-11-11,2
Ron Riley,1950-11-11,4
Barry Sumpter,1965-11-11,1
Dāvis Bertāns,1992-11-12,4
Norman Black,1957-11-12,1
George Blaney,1939-11-12,1
Bob Brown,1923-11-12,2
Trey Burke,1992-11-12,7
Gerald Glass,1967-11-12,4
Billy Harris,1951-11-12,1
Charlie Lowery,1949-11-12,1
Corey Maggette,1979-11-12,14
Andrae Patterson,1975-11-12,2
Dale Schlueter,1945-11-12,10
Lou Spicer,1922-11-12,1
Russell Westbrook,1988-11-12,12
Gene Wiley,1937-11-12,5
Stanley Brundy,1967-11-13,1
Sam Cash,1950-11-13,1
Kevin Gamble,1965-11-13,10
Jack George,1928-11-13,8
Luther Green,1946-11-13,3
Steve Hamer,1973-11-13,1
Hank McDowell,1959-11-13,6
Shabazz Muhammad,1992-11-13,5
Don Putman,1922-11-13,4
Blair Rasmussen,1962-11-13,8
George Ratkovicz,1922-11-13,6
Rumeal Robinson,1966-11-13,6
Lorenzo Romar,1958-11-13,5
Mark Sibley,1950-11-13,1
Gene Stump,1923-11-13,3
Metta World Peace,1979-11-13,17
Willie Worsley,1945-11-13,1
Ben Coleman,1961-11-14,5
Simmie Hill,1946-11-14,4
Steven Hill,1985-11-14,1
Alex Kirk,1991-11-14,1
Jack Sikma*,1955-11-14,14
Lionel Simmons,1968-11-14,7
David Wesley,1970-11-14,14
Tom Workman,1944-11-14,4
Mark Acres,1962-11-15,6
Greg Anthony,1967-11-15,11
Bob Dandridge,1947-11-15,13
Jermareo Davidson,1984-11-15,2
Lionel Malamed,1924-11-15,1
Sasha Pavlović,1983-11-15,10
Sindarius Thornwell,1994-11-15,3
Karl-Anthony Towns,1995-11-15,5
João Vianna,1966-11-15,1
Cliff Alexander,1995-11-16,1
Bol Bol,1999-11-16,1
Gary Clark,1994-11-16,2
Wayne Cooper,1956-11-16,14
Ben Handlogten,1973-11-16,2
Dave Johnson,1970-11-16,2
Amar'e Stoudemire,1982-11-16,14
Dick Surhoff,1929-11-16,2
Denzel Valentine,1993-11-16,3
Jo Jo White*,1946-11-16,12
Dragan Bender,1997-11-17,4
Adrian Branch,1963-11-17,4
Zylan Cheatham,1995-11-17,1
Elvin Hayes*,1945-11-17,16
Jerome James,1975-11-17,9
Walt Lautenbach,1922-11-17,1
Roshown McLeod,1975-11-17,3
Joe Mullaney,1924-11-17,1
Marlbert Pradd,1944-11-17,2
Wayne Sappleton,1960-11-17,1
Steve Stipanovich,1960-11-17,5
Irv Bemoras,1930-11-18,2
Demetrius Calip,1969-11-18,1
Sam Cassell,1969-11-18,15
John Dickson,1945-11-18,1
Ray Ellefson,1922-11-18,2
Matt Fish,1969-11-18,3
Dick Fitzgerald,1920-11-18,2
Julius Hodge,1983-11-18,2
Zach Lofton,1992-11-18,1
Quincy Miller,1992-11-18,3
Arnett Moultrie,1990-11-18,2
Billy Shepherd,1949-11-18,3
Garfield Smith,1945-11-18,3
Jason Williams,1975-11-18,12
Marcus Williams,1986-11-18,2
Justin Anderson,1993-11-19,5
Richard Anderson,1960-11-19,6
Toby Bailey,1975-11-19,2
Marcus Banks,1981-11-19,8
Jamison Brewer,1980-11-19,4
Zach Collins,1997-11-19,3
Kenneth Faried,1989-11-19,8
Andre Ingram,1985-11-19,2
Herb Krautblatt,1926-11-19,1
Myles Patrick,1954-11-19,1
Tom Payne,1950-11-19,1
Vladimir Radmanović,1980-11-19,12
Ronald Thomas,1950-11-19,4
Kostas Antetokounmpo,1997-11-20,2
Mengke Bateer,1975-11-20,3
Carlos Boozer,1981-11-20,13
Ryan Bowen,1975-11-20,10
Chris Childs,1967-11-20,9
Louie Dampier*,1944-11-20,12
Ángel Delgado,1994-11-20,1
Harold Jamison,1976-11-20,2
Ozell Jones,1960-11-20,2
Arvesta Kelly,1945-11-20,5
Mo Mahoney,1927-11-20,2
Cartier Martin,1984-11-20,7
Johnny Payak,1926-11-20,2
Phil Sellers,1953-11-20,1
Dean Wade,1996-11-20,1
Jamie Waller,1964-11-20,1
Gary Zeller,1947-11-20,2
Mike Batiste,1977-11-21,1
Josh Boone,1984-11-21,4
Chris Chiozza,1995-11-21,2
Terry Dischinger,1940-11-21,9
Reggie Lewis,1965-11-21,6
John Lucas III,1982-11-21,8
Cedric Maxwell,1955-11-21,11
Earl Monroe*,1944-11-21,13
Olden Polynice,1964-11-21,15
Larry Sanders,1988-11-21,6
Miles Simon,1975-11-21,1
Chris Singleton,1989-11-21,3
Stromile Swift,1979-11-21,9
Ronald Taylor,1947-11-21,3
Jamil Wilson,1990-11-21,1
Benoit Benjamin,1964-11-22,15
Gene Berce,1926-11-22,1
Tarik Black,1991-11-22,4
James Edwards,1955-11-22,19
Elmer Gainer,1918-11-22,2
Jerry Greenspan,1941-11-22,2
Byron Houston,1969-11-22,4
Mel Hutchins,1928-11-22,7
Pape Sow,1981-11-22,3
James Thomas,1980-11-22,2
Milt Williams,1945-11-22,4
Steve Alford,1964-11-23,4
Ashraf Amaya,1971-11-23,2
Miloš Babić,1968-11-23,2
Vin Baker,1971-11-23,13
Frank Johnson,1958-11-23,10
George Lee,1936-11-23,7
Kirk Penney,1980-11-23,2
George Reynolds,1947-11-23,1
Malik Rose,1974-11-23,13
Earl Shannon,1921-11-23,3
Andrew Toney,1957-11-23,8
Lloyd Walton,1953-11-23,5
Larry Wright,1954-11-23,6
Henry Bibby,1949-11-24,9
Dave Bing*,1943-11-24,12
Jimmy Collins,1946-11-24,2
Ledell Eackles,1966-11-24,7
Johnny Horan,1932-11-24,1
Brandon Hunter,1980-11-24,2
Dave Magley,1959-11-24,1
Bill Miller,1924-11-24,1
Shavlik Randolph,1983-11-24,8
Oscar Robertson*,1938-11-24,14
Rudy Tomjanovich*,1948-11-24,11
Gary Voce,1965-11-24,1
Trevor Booker,1987-11-25,8
Lorenzo Charles,1963-11-25,1
Talen Horton-Tucker,2000-11-25,1
Jared Jeffries,1981-11-25,11
Gerard King,1972-11-25,3
Mike Lynn,1945-11-25,2
Kenny Payne,1966-11-25,4
Anthony Peeler,1969-11-25,13
Dennis Smith,1997-11-25,3
Erick Strickland,1973-11-25,9
Dean Tolson,1951-11-25,3
Claude Virden,1947-11-25,1
John Amaechi,1970-11-26,5
Malik Beasley,1996-11-26,4
Avery Bradley,1990-11-26,10
Gian Clavell,1993-11-26,1
Mario Elie,1963-11-26,11
Greg Graham,1970-11-26,5
Bernie Harris,1950-11-26,1
Lazar Hayward,1986-11-26,3
Luther Head,1982-11-26,6
Omari Johnson,1989-11-26,1
Shawn Kemp,1969-11-26,14
George Patterson,1939-11-26,1
Edwin Ubiles,1986-11-26,1
Don Adams,1947-11-27,7
Luigi Datome,1987-11-27,2
Henry Dickerson,1951-11-27,2
Dean Garrett,1966-11-27,6
Brendan Haywood,1979-11-27,13
Manny Leaks,1945-11-27,6
Andy Panko,1977-11-27,1
Jim Price,1949-11-27,7
Donta Smith,1983-11-27,2
Ronnie Valentine,1957-11-27,1
Nick Van Exel,1971-11-27,13
Leandro Barbosa,1982-11-28,14
Andrew Bogut,1984-11-28,14
Don Collins,1958-11-28,6
Leo Gottlieb,1920-11-28,2
Paul Graham,1967-11-28,3
Taurean Green,1986-11-28,1
Larry Johnson,1954-11-28,1
Dan Langhi,1977-11-28,4
Josh Magette,1989-11-28,2
Johnny Newman,1963-11-28,16
Roy Tarpley,1964-11-28,6
Del Beshore,1956-11-29,2
Dee Brown,1968-11-29,12
Shannon Brown,1985-11-29,9
Troy Caupain,1995-11-29,1
Wayne Ellington,1987-11-29,11
Len Kosmalski,1951-11-29,2
Daryl Macon,1995-11-29,2
Jamal Mashburn,1972-11-29,11
Mike Penberthy,1974-11-29,2
Julius Randle,1994-11-29,6
Jerry Sichting,1956-11-29,10
Charles Smith,1967-11-29,3
Alex Stivrins,1962-11-29,2
George Thompson,1947-11-29,6
Mark Blount,1975-11-30,9
Jim Chones,1949-11-30,10
Darren Daye,1960-11-30,5
Jordan Farmar,1986-11-30,10
Steve Hamilton,1934-11-30,2
Tom Kondla,1946-11-30,1
Joel Kramer,1955-11-30,5
Andrés Nocioni,1979-11-30,8
Richie Regan,1930-11-30,3
Anthony Taylor,1965-11-30,1
Dan Tieman,1940-11-30,1
Linton Townes,1959-11-30,3
John Turner,1967-11-30,1
Paul Westphal*,1950-11-30,12
Grant Williams,1998-11-30,1
David Wood,1964-11-30,7
Rakeem Christmas,1991-12-01,2
James Hardy,1956-12-01,4
Billy Kenville,1930-12-01,6
Gary Payton,1992-12-01,4
Walter Simon,1939-12-01,7
Billy Thompson,1963-12-01,6
Ralph Beard,1927-12-02,2
Sim Bhullar,1992-12-02,1
Jarron Collins,1978-12-02,10
Jason Collins,1978-12-02,13
Deyonta Davis,1996-12-02,3
Alan Henderson,1972-12-02,12
De'Andre Hunter,1997-12-02,1
Byron Irvin,1966-12-02,3
Fred Jacobs,1922-12-02,1
Eugene Jeter,1983-12-02,1
Brandon Knight,1991-12-02,8
Stephen Thompson,1968-12-02,1
Matt Walsh,1982-12-02,1
Kenrich Williams,1994-12-02,2
Dorell Wright,1985-12-02,11
Derrick Zimmerman,1981-12-02,1
Mike Bantom,1951-12-03,9
Jim Brewer,1951-12-03,9
Lindsey Hunter,1970-12-03,17
Askia Jones,1971-12-03,1
Jack McMahon,1928-12-03,8
Brian Roberts,1985-12-03,5
Charley Shipp,1913-12-03,1
Greg Sutton,1967-12-03,3
Robert Swift,1985-12-03,4
Marcus Williams,1985-12-03,4
Brian Cook,1980-12-04,9
Duje Dukan,1991-12-04,1
Howard Eisley,1972-12-04,12
Bernard King*,1956-12-04,14
Jerome Lane,1966-12-04,5
Dick Ricketts,1933-12-04,3
Andre Roberson,1991-12-04,6
Carey Scurry,1962-12-04,3
Ron Shavlik,1933-12-04,2
Martell Webster,1986-12-04,10
Corliss Williamson,1973-12-04,12
Cory Carr,1975-12-05,1
Eddy Curry,1982-12-05,11
Hoot Gibson,1921-12-05,1
Butch Lee,1956-12-05,2
Semi Ojeleye,1994-12-05,3
Josh Smith,1985-12-05,13
Charlie Yelverton,1948-12-05,1
Giannis Antetokounmpo,1994-12-06,7
Greg Deane,1957-12-06,1
Wayne Englestad,1966-12-06,1
Bill Hanzlik,1957-12-06,10
Brad Holland,1956-12-06,3
Ralph Johnson,1921-12-06,4
Matt Maloney,1971-12-06,6
Jelani McCoy,1977-12-06,8
Boris Nachamkin,1933-12-06,1
Doyle Parrack,1921-12-06,1
Elmore Spencer,1969-12-06,5
Darius Washington,1985-12-06,1
Lou Amundson,1982-12-07,10
Cameron Bairstow,1990-12-07,2
Larry Bird*,1956-12-07,13
Anthony Frederick,1964-12-07,3
Andrew Goudelock,1988-12-07,3
Aaron Gray,1984-12-07,7
Nick Mantis,1935-12-07,2
Patrick McFarland,1951-12-07,3
Fred Paine,1925-12-07,1
Gary Phillips,1939-12-07,5
Kevin Séraphin,1989-12-07,7
Julyan Stone,1988-12-07,4
Al Thornton,1983-12-07,4
Max Zaslofsky,1925-12-07,10
Will Conroy,1982-12-08,3
Ken Durrett,1948-12-08,4
Johnny Green,1933-12-08,14
Lindsay Hairston,1951-12-08,1
Skeeter Henry,1967-12-08,1
Dwight Howard,1985-12-08,16
George Johnson,1956-12-08,8
Edmund Lawrence,1952-12-08,1
Bob Love,1942-12-08,11
Andrew Nicholson,1989-12-08,5
Oleksiy Pecherov,1985-12-08,3
Jermaine Taylor,1986-12-08,2
Jim Baechtold,1927-12-09,5
Aron Baynes,1986-12-09,8
Otis Birdsong,1955-12-09,12
Eric Bledsoe,1989-12-09,10
Bill Crow,1940-12-09,1
World B. Free,1953-12-09,13
Langston Galloway,1991-12-09,6
Cliff Hagan*,1931-12-09,13
Mike Harper,1957-12-09,2
Gerald Henderson,1987-12-09,8
Dewan Hernandez,1996-12-09,1
Haywood Highsmith,1996-12-09,1
Zach Norvell,1997-12-09,1
Kelly Oubre,1995-12-09,5
Brent Price,1968-12-09,9
Dick Wehr,1925-12-09,1
Owen Wells,1950-12-09,1
Mark Aguirre,1959-12-10,13
Tacko Fall,1995-12-10,1
Dave Fedor,1940-12-10,1
Ray Felix,1930-12-10,9
Jim Fritsche,1931-12-10,2
Rusty LaRue,1973-12-10,5
Jack Maddox,1919-12-10,1
Lloyd Neal,1950-12-10,7
Ray Ragelis,1928-12-10,1
Bryant Stith,1970-12-10,10
Dion Waiters,1991-12-10,8
Shareef Abdur-Rahim,1976-12-11,12
Mark Alarie,1963-12-11,5
Ernie Beck,1931-12-11,7
Malcolm Brogdon,1992-12-11,4
Al Hairston,1945-12-11,2
Roy Hibbert,1986-12-11,9
Plummer Lott,1945-12-11,2
Bevo Nordmann,1939-12-11,4
Ray Owes,1972-12-11,1
Billy Schaeffer,1951-12-11,3
Ben Scharnus,1917-12-11,2
Jim Tucker,1932-12-11,3
Rick Calloway,1966-12-12,1
Alvin Heggs,1967-12-12,1
Ronald Kozlicki,1944-12-12,1
Greg Lee,1951-12-12,2
Makhtar N'Diaye,1973-12-12,1
Ivano Newbill,1970-12-12,3
Bob Pettit*,1932-12-12,11
John Salmons,1979-12-12,13
Randy Smith,1948-12-12,12
Murray Wier,1926-12-12,1
Charles Claxton,1970-12-13,1
Evric Gray,1969-12-13,1
Phil Hubbard,1956-12-13,10
Gus Johnson*,1938-12-13,10
Larry Kenon,1952-12-13,10
Roy Marble,1966-12-13,2
Pierre Russell,1949-12-13,2
Andre Turner,1964-12-13,6
Nicolas Batum,1988-12-14,12
William Bedford,1963-12-14,6
John Brown,1951-12-14,7
Pat Burke,1973-12-14,3
James Cotton,1975-12-14,2
Robert Covington,1990-12-14,7
Clyde Dickey,1951-12-14,1
Carl Herrera,1966-12-14,8
Anthony Mason,1966-12-14,13
Eldridge Recasner,1967-12-14,8
Jim Riffey,1923-12-14,1
Lonnie Walker,1998-12-14,2
Keith Askins,1967-12-15,9
Mitchell Butler,1970-12-15,8
Lawrence Funderburke,1970-12-15,7
Bill Higgins,1952-12-15,1
Dontell Jefferson,1983-12-15,1
Daniel Ochefu,1993-12-15,1
Jahlil Okafor,1995-12-15,5
Charlie Scott*,1948-12-15,10
David Wingate,1963-12-15,15
Kelenna Azubuike,1983-12-16,5
Bill Chamberlain,1949-12-16,2
Joey Dorsey,1983-12-16,4
Jimmy Foster,1951-12-16,2
Nigel Hayes,1994-12-16,1
Brandin Knight,1981-12-16,1
Mac Otten,1925-12-16,1
Claude Overton,1927-12-16,1
Clifford Robinson,1966-12-16,18
Jeff Ruland,1958-12-16,8
Alexey Shved,1988-12-16,3
Bennie Swain,1933-12-16,1
Jan van Breda Kolff,1951-12-16,9
Orlando Woolridge,1959-12-16,13
Brad Davis,1955-12-17,15
Craig Dill,1944-12-17,1
Jeff Grayer,1965-12-17,9
Buddy Hield,1992-12-17,4
Ed Horton,1967-12-17,1
Kris Joseph,1988-12-17,1
Albert King,1959-12-17,9
Stéphane Lasme,1982-12-17,1
Brian Mahoney,1948-12-17,1
Chick Reiser,1914-12-17,3
Antoine Rigaudeau,1971-12-17,1
Brad Sellers,1962-12-17,6
Gino Sovran,1924-12-17,1
Joe Wolf,1964-12-17,11
Guerschon Yabusele,1995-12-17,2
Jabari Brown,1992-12-18,1
Marcus Cousin,1986-12-18,1
Jim Davis,1941-12-18,8
Jacky Dorsey,1954-12-18,3
Lucious Harris,1970-12-18,12
George Johnson,1948-12-18,13
Rich Johnson,1946-12-18,3
Nate Johnston,1966-12-18,1
Bobby Jones*,1951-12-18,12
Audie Norris,1960-12-18,3
Charles Oakley,1963-12-18,19
Joe Pace,1953-12-18,2
Gene Shue,1931-12-18,10
Craig Spitzer,1945-12-18,1
Óscar Torres,1976-12-18,2
Phillip Wagner,1945-12-18,1
Julian Washburn,1991-12-18,1
Jay Arnette,1938-12-19,3
Torrey Craig,1990-12-19,3
Joe DePre,1947-12-19,3
Jorge Garbajosa,1977-12-19,2
Winston Garland,1964-12-19,7
Leonard Gray,1951-12-19,3
Tom Gugliotta,1969-12-19,13
Josh Huestis,1991-12-19,3
Vic Law,1995-12-19,1
Scott Lloyd,1952-12-19,6
Felipe López,1974-12-19,4
Kevin McHale*,1957-12-19,13
Jim Paxson,1932-12-19,2
Arvydas Sabonis*,1964-12-19,7
D.J. Stephens,1990-12-19,2
Kebu Stewart,1973-12-19,1
Mo Williams,1982-12-19,13
Matt Zunic,1919-12-19,1
Hollis Copeland,1955-12-20,2
Derrick Dial,1975-12-20,4
De'Aaron Fox,1997-12-20,3
Dick Gibbs,1948-12-20,5
Bill Hosket,1946-12-20,4
Royal Ivey,1981-12-20,10
Wesley Iwundu,1994-12-20,3
Phil Lumpkin,1951-12-20,2
Erik McCree,1993-12-20,1
Anžejs Pasečņiks,1995-12-20,1
Bobby Phills,1969-12-20,9
Herm Schaefer,1918-12-20,2
Dave Stallworth,1941-12-20,8
Don Sunderlage,1929-12-20,2
Raymond Townsend,1955-12-20,3
Trent Tucker,1959-12-20,11
Howard Wright,1967-12-20,2
Jim Zoet,1953-12-20,1
Corky Devlin,1931-12-21,3
B.J. Johnson,1995-12-21,2
Ervin Johnson,1967-12-21,13
Sheldon Mac,1992-12-21,1
Terry Mills,1967-12-21,11
Wat Misaka,1923-12-21,1
Herb Scherer,1928-12-21,2
Pop Goodwin,1920-12-22,2
Marcus Haislip,1980-12-22,4
Tom Hawkins,1936-12-22,10
Derek Hood,1976-12-22,1
Bobby Hooper,1946-12-22,1
Nick Johnson,1992-12-22,1
Vester Marshall,1948-12-22,1
Bill Newton,1950-12-22,2
Dave Robisch,1949-12-22,13
Jack Smiley,1922-12-22,2
Bob Wiesenhahn,1938-12-22,1
Jack Burmaster,1926-12-23,1
Freddie Crawford,1941-12-23,5
Sekou Doumbouya,2000-12-23,1
Ben Hansbrough,1987-12-23,1
Myke Henry,1992-12-23,1
Dave Lattin,1943-12-23,5
Clifford Lett,1965-12-23,2
Kevin Restani,1951-12-23,8
Jerry Reynolds,1962-12-23,8
Paul Shirley,1977-12-23,3
Dan Swartz,1934-12-23,1
Billy Thomas,1975-12-23,3
Kyrylo Fesenko,1986-12-24,5
P.J. Hairston,1992-12-24,2
Mo Layton,1948-12-24,5
Kevin Lynch,1968-12-24,2
Eric Moreland,1991-12-24,4
Tod Murphy,1963-12-24,5
Paul Pressey,1958-12-24,11
Ed Rains,1956-12-24,2
Jimmie Baker,1953-12-25,1
Bernie Fryer,1949-12-25,2
Eric Gordon,1988-12-25,12
Leo Kubiak,1927-12-25,1
Chris Richard,1984-12-25,2
Wilbert Robinson,1949-12-25,1
Brett Vroman,1955-12-25,1
Joe Alexander,1986-12-26,2
Bob Bigelow,1953-12-26,4
Ben Davis,1972-12-26,4
Claude English,1946-12-26,1
Claude Gregory,1958-12-26,2
Tim James,1976-12-26,3
Cory Jefferson,1990-12-26,2
Tim Legler,1966-12-26,10
Damir Markota,1985-12-26,1
Glenn Mosley,1955-12-26,2
Eddie Owens,1953-12-26,1
Bernard Robinson,1980-12-26,3
Kent Benson,1954-12-27,11
Mike Dabich,1942-12-27,1
Patrick Eddie,1967-12-27,1
Dike Eddleman,1922-12-27,4
Jorge Gutiérrez,1988-12-27,3
Bill Henry,1924-12-27,2
Bob Hubbard,1922-12-27,2
Dahntay Jones,1980-12-27,13
Rich Jones,1946-12-27,8
Mel Nowell,1939-12-27,2
Kevin Ollie,1972-12-27,13
Easy Parham,1921-12-27,3
Jamal Robinson,1973-12-27,1
Rob Rose,1964-12-27,1
Dwight Anderson,1960-12-28,1
Frank Card,1944-12-28,5
Jerry Grote,1940-12-28,1
John Henson,1990-12-28,8
Johnny Jorgensen,1921-12-28,2
Keith Lee,1962-12-28,3
Tracy Moore,1965-12-28,5
DeWayne Scales,1958-12-28,3
Melvin Turpin,1960-12-28,5
Chubby Cox,1955-12-29,1
Bud Ogden,1946-12-29,2
Ron Perry,1943-12-29,3
Briante Weber,1992-12-29,3
Jesse Arnelle,1933-12-30,1
Devin Brown,1978-12-30,8
Mel Gibson,1940-12-30,1
Earle Higgins,1946-12-30,1
Sean Higgins,1968-12-30,6
Didier Ilunga-Mbenga,1980-12-30,7
LeBron James,1984-12-30,17
Kenyon Martin,1977-12-30,15
Loren Meyer,1972-12-30,3
Steve Mix,1947-12-30,13
Don Reid,1973-12-30,8
Terrance Roberson,1976-12-30,1
Johnny Rogers,1963-12-30,2
Kevin Salvadori,1970-12-30,2
Jack Tingle,1924-12-30,2
Paul Watson,1994-12-30,1
Eric White,1965-12-30,2
C.J. Wilcox,1990-12-30,3
Bernie Williams,1945-12-30,5
Troy Williams,1994-12-30,3
Shandon Anderson,1973-12-31,10
Brent Barry,1971-12-31,14
Aud Brindley,1923-12-31,1
Tyrone Corbin,1962-12-31,16
Hal Crisler,1923-12-31,1
Javaris Crittenton,1987-12-31,2
Don Ford,1952-12-31,7
Francisco García,1981-12-31,10
Harry Rogers,1950-12-31,1
Irv Rothenberg,1921-12-31,3
Bryon Russell,1970-12-31,13
Luke Schenscher,1982-12-31,2
Ralph Siewert,1923-12-31,1
Edmond Sumner,1995-12-31,3
Chuckie Williams,1953-12-31,1
Korleone Young,1978-12-31,1
